Текущий вид;Текущая порода;Новый вид;Новая порода;Комментарий;;
собаки;пражский крысарик;Собаки;Пражский крысарик;;;
собаки;пудель;Собаки;ПУДЕЛЬ ;;;
собаки;пудель миниатюрный;Собаки;Пудель миниатюрный;;;
собаки;пудель-пойнтер;Собаки;Пудель-пойнтер;;;
собаки;пудель стандартный;Собаки;ПУДЕЛЬ ;;;
собаки;пули;Собаки;ПУЛИ ;;;
собаки;пуми;Собаки;Пуми;;;
собаки;пшеничный мягкошерстный терьер;Собаки;ИРЛАНДСКИЙ МЯГКОШЕРСТНЫЙ ПШЕНИЧНЫЙ ТЕРЬЕР ;;;
собаки;ретривер;Собаки;Ретривер;нет в справочнике AnimalID;;
собаки;Риджбек;Собаки;Родезийский риджбек (rhodesian ridgeback);;;
собаки;ризеншнауцер;Собаки;РИЗЕНШНАУЦЕР ;;;
собаки;родезийский риджбек;Собаки;Родезийский риджбек (rhodesian ridgeback);;;
собаки;ротвейлер;Собаки;РОТВЕЙЛЕР ;;;
собаки;румынская овчарка;Собаки;Румынская карпатская овчарка;нет в справочнике AnimalID;;
собаки;русская гончая;Собаки;Русская гончая;;;
собаки;русская пегая гончая;Собаки;Русская пегая гончая;нет в справочнике AnimalID;;
собаки;русский спаниель;Собаки;Русский спаниель;;;
собаки;русский той-терьер;Собаки;Русский той-терьер;;;
собаки;русский черный терьер;Собаки;Русский черный терьер;;;
собаки;русско-европейская лайка;Собаки;Русско-европейская лайка;;;
собаки;рэт-терьер;Собаки;Рэт-терьер;нет в справочнике AnimalID;;
собаки;салюки, персидская гончая;Собаки;САЛЮКИ ;;;
собаки;самоедская лайка;Собаки;САМОЕД ;;;
собаки;сегуджио итальяно;Собаки;Итальянская гончая (Сегуджио итальяно);нет в справочнике AnimalID;;
собаки;сенбернар;Собаки;СЕНБЕРНАР ;;;
собаки;сеттер-гордон;Собаки;СЕТТЕР ГОРДОН ;;;
собаки;сиба-ину;Собаки;Сиба-Ину;;;
собаки;сибирская хаски;Собаки;СИБИРСКИЙ ХАСКИ ;;;
собаки;сибирский хаски;Собаки;СИБИРСКИЙ ХАСКИ ;;;
собаки;сийлихам терьер;Собаки;СИЛИХЕМ ТЕРЬЕР ;;;
собаки;сикоку;Собаки;Сикоку (Коти-ину);нет в справочнике AnimalID;;
собаки;силки терьер;Собаки;Австралийский силки (шелковистый) терьер;;;
собаки;скай терьер;Собаки;СКАЙ ТЕРЬЕР ;;;
собаки;скотч терьер;Собаки;СКОТЧ ТЕРЬЕР ;;;
собаки;смаусхонд;Собаки;Голландский смаусхонд;;;
собаки;смешанная;Собаки;Метис;;;
