ID;NameClinic;AdmArea;District;Address;AssignedRegistrationNumberCertificate;ValidityCertificate;Comments;global_id
166;ООО «Арс медика»;Северо-Восточный административный округ;Алтуфьевский район;город Москва, Бибиревская улица, дом 17Б;77-05-120;20.04.2040;;903874896
167;ЗооВетЦентр «ЛЕБЕДИ»;Западный административный округ;район Раменки;Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, улица Раменки, дом 23;77-03-186;12.10.2040;;903874899
168;А.М.Вет;Западный административный округ;район Очаково-Матвеевское;город Москва, улица Наташи Ковшовой, дом 3;77-03-194;09.02.2022;;903874900
169;Сеть Ветеринарных Клиник Свой Доктор;Западный административный округ;район Кунцево;город Москва, Ярцевская улица, дом 34, корпус 1;77-03-249;01.01.2040;;903874905
170;Сеть Ветеринарных Клиник Свой Доктор;Западный административный округ;район Раменки;город Москва, Мичуринский проспект, дом 7, корпус 1;77-03-317;18.07.2040;;903874911
171;СанПэт;Западный административный округ;район Проспект Вернадского;город Москва, улица Лобачевского, дом 8;77-03-315;12.06.2040;;903874939
172;«Издательство «Ниаландо»;Западный административный округ;Можайский район;город Москва, Гродненская улица, дом 10;77-03-393;22.06.2022;;903874943
173;А.М.Вет;Западный административный округ;район Раменки;город Москва, улица Пудовкина, дом 3;77-03-194;09.02.2022;;903874944
174;Ямская слобода 19;Центральный административный округ;Таганский район;город Москва, Школьная улица, дом 19;77-07-094;14.09.2039;;903875039
175;«Белый клык»;Центральный административный округ;Пресненский район;город Москва, улица Красная Пресня, дом 6/2, строение 2;77-07-059;16.02.2040;;903876364
176;ФГБУ «ВГНКИ»;Центральный административный округ;Пресненский район;город Москва, Звенигородское шоссе, дом 5, строение 1;77-07-354;14.11.2046;;903880833
177;Кинологический Центр «БИС»;Зеленоградский административный округ;район Савёлки;город Москва, город Зеленоград, проезд № 4807, дом 1, строение 1;77-02-039;05.04.2040;;903892895
178;ТиМ 99;Северный административный округ;район Ховрино;город Москва, улица Лавочкина, дом 32;77-04-028;29.03.2044;;903892914
179;ВГОУ ВПО «Московская сельскохозяйственная Академия им. К.А. Тимирязева»;Северный административный округ;Тимирязевский район;город Москва, Пасечная улица, дом 2;77-04-047;01.01.2040;;903892922
180;Международный ветеринарный центр репродукции и искусственного осеменения мелких животных;Северный административный округ;Тимирязевский район;город Москва, улица Прянишникова, дом 19А, строение 9;77- 04-138;19.04.2044;;903893076
181;Мода Сервис;Северо-Западный административный округ;район Строгино;город Москва, улица Маршала Катукова, дом 17, корпус 1;77-06-488;01.01.2040;;903893318
182;Ветландия;Северо-Западный административный округ;район Куркино;город Москва, Родионовская улица, дом 2, корпус 1;77-06-410;17.10.2022;;903893330
